user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
penina-moise		Moïse	penina.moise	https://jwa.org/encyclopedia/article/moise-penina	"Penina Moïse (1797-1880) was born to a large and wealthy family in Charleston, South Carolina, the progeny of her merchant father, Abraham Moïse (1736-1809), originally from Strasbourg in Alsace, France, and her mother Sarah from the Jewish community on the Caribbean island of Sint Eustatius in the Netherlands Antilles. Her brother, also named Abraham, was a leader in the <a href=""/profile/reformed-society-of-israelites/"">Reformed Society of Israelites</a>, and so we imagine she was closely associated with the reformist wing of the congregation it wished to and ultimately succeeded in reforming, <a href=""/profile/kahal-kadosh-beth-elohim/"">Ḳ.Ḳ. Beth Elohim</a>. Moïse wrote at least 187 prayers for Beth Elohim's hymn books published <a href=""/?p=39305"">in 1842</a> and <a href=""/?p=40488"">in 1856</a>. Moïse was also a gifted teacher and, in 1845, became head of Beth Elohim’s religious school. Moïse was a prolific writer, earning praise for her 1833 collection of poems, <em>Fancy’s Sketch Book</em>, as well as her articles for various newspapers across the country.  After the Civil War, she returned to Charleston and ran an academy with her sister and niece. Though her eyesight eventually deteriorated into blindness, she continued to work and write until the end of her life. (This short biographical sketch includes material adapted from <a href=""https://jwa.org/encyclopedia/article/moise-penina"">her entry in the Jewish Women's Archive</a> by Jay M. Eidelman.)"				
cordelia-moise-cohen		Moïse Cohen	cordelia.moïse-cohen		"Cordelia Moïse Cohen (1810-1869) was born in Charleston, the younger daughter of Cherie (Cherry) Moïse and Esther Moses. She married Dr. Philip Melvin Cohen of Charleston in 1832 and with him had eleven children. In <em>The Moïse Family of South Caroline</em> (1961) Harold Moïse writes that ""she is remembered by her gift for poetry. She wrote a series of hymns for Congregation Beth Elohim which supplemented those of her aunt Penina Moïse. Cordelia, keen in wit and repartee, was the center of a brilliant circle of admirers. She suffered bitterly from poverty and anxiety during the Civil War, her physician husband in the service of the Confederacy, her family scattered. They were in Columbia when that city was burned by Sherman."" She died in Charleston in 1869."				
simon-montagu		Montagu (translation)	Simon Montagu (translation)		Simon Montagu is a translator and software engineer. He worked as an internationalization (i18n) engineer involved for the Mozilla project beginning in 1999, originally through IBM in Israel, later on the staff of Netscape Communications Corporation from 2001-2003, after that as an independent contributor, and from 2006-2015 as a contractor for the Mozilla Corporation.				
james-alan-montgomery		Montgomery	James Alan Montgomery (translation)	https://en.wikipedia.org/wiki/James_Alan_Montgomery	James Alan Montgomery (June 13, 1866 – February 6, 1949) was an American Episcopal clergyman, Oriental scholar, and biblical scholar who was professor of Old Testament and Semitics (Hebrew and Aramaic), first at the Philadelphia Divinity School, and later, from 1913 to 1948, at the University of Pennsylvania. He served as president of the American Oriental Society and Society of Biblical Literature and Exegesis.				
michael-morgan		Morgan	Michael A. Morgan (translation/English)		"Michael A. Morgan was the translator of an English edition of <em>Sefer ha-Razim</em> based on the work of Mordecai Margoliot. If you have any more information about this scholar, please <a href=""/contact/"">contact us</a>."				
vladyslava-moskalets		Moskalets	Lada Moskalets (translation)	http://jewishfamilysearch.com/	Lada Moskalets is a historian, graduate student at Jagiellonian University (Kraków, Poland), and coordinator of the “Jewish Studies” program at Ukrainian Catholic University (Lviv, Ukraine). Her academic interests include the social history of Eastern European Jewry, and Yiddish.				
julia-mossbridge		Mossbridge	julia.mossbridge	https://www.mossbridgeinstitute.com/team	"Dr. Mossbridge is a mystic and scientist studying human consciousness and time. You can learn more about her work at <a href=""https://loveandtime.org/"">The Institute for Love and Time</a> (TILT)."				
linda-motzkin		Motzkin	linda.motzkin	http://www.saratogasinai.org/meet-the-rabbis/	Rabbi Linda Motzkin is the founder of the Community Torah Project, a long-term endeavor providing learning opportunities for all ages in scribal arts and hands-on participation in the making of a Torah scroll. She has led programs and workshops throughout the United States and abroad and is available for educational programs in a variety of formats and settings. She has served as co-rabbi of Temple Sinai of Saratoga Springs, New York since her rabbinic ordination in 1986.				
kungfujew18		Murane	kungfujew18	http://judaismwithoutborders.org	Ben Murane works for the New Israel Fund, the leading organization promoting social justice and equality for all Israelis. Ben’s focus has been developing emerging Jewish communities around Israel, prayer, and social justice. Previously, he worked for New Voices, Hazon, and Breaking the Silence. He has held local and national lay leadership positions for J Street, Kol Zimrah, and the National Havurah Committee. He is also a co-publisher of Jewschool.com.				
isaac-henry-myers		Myers	isaac-henry.myers	https://www.geni.com/people/Rev-Isaac-Myers/6000000012653755540	Isaac Henry Myers (1811-June 22, 1877), secretart to Sir Moses Montefiore and rabbi of the latter's Ramsgate synagogue from 1833-1877. Rabbi Myers officiated at weddings in Canterbury, of which congregation he was a honorary member. According to the Jewish Chronicle of 1st October 1847, he delivered the opening sermon at the laying of the foundation stone of the new Canterbury Synagogue by Sir Moses Montefiore. Isaac Myers was also an active educator and before 1842 he established a small boarding school at Ramsgate, the curriculum of which included Hebrew, English, Latin, German and French. The school was open to Jewish and non-Jewish pupils. In 1845, together with another brother, the Rabbi Moses Henry Myers, who was then assistant Reader of the Duke's Place synagogue, and Hebrew Master at its Talmud Torah school. Together, they published a booklet entitled <em>Twelve hundred questions and answers on the Bible</em>. The school was well supported and in 1865, after reorganization, it became known as the Ramsgate Middle Class school.				
yosef-nahmuli		Naḥmuli	Ιωσήφ Ναχαμούλης (Yosef Naḥmuli, 1821-1886)		Yosef (Giuseppe) Naḥmuli (also, Nachmuli, Nakamuli; 1821-1886) was a journalist, educator, and lawyer. A leading figure of the Sepharadi community of Corfu, Greece, he was a member of the committee of the Alliance Israelite Universelle. He published several books for teaching languages (Greek, Italian and French) to young Sephardim and in 1861 founded the bilingual newspaper, <em>Israelite Chronica / Cronaca Israelite</em> in Greek and Italian, which was published until 1863.				
yisrael-ben-mosheh-najara		Najara	yisrael.ben-mosheh-najara	https://en.wikipedia.org/wiki/Israel_ben_Moses_Najara	Yisrael ben Mosheh Najara (Hebrew: ישראל בן משה נאג'ארה; Arabic: إسرائيل بن موسى النجارة‎, Isra'il bin Musa al-Najara; c. 1555, Safed, Ottoman Empire – c. 1625, Gaza, Ottoman Empire) was a prolific Jewish liturgical poet, preacher, Biblical commentator, kabbalist, and rabbi of Gaza.				
mara-nathan		Nathan	mara.nathan	https://www.beth-elsa.org/RabbiNathan	Rabbi Mara Nathan of Temple Beth–El, San Antonio, Texas, is the first woman to serve as senior rabbi of a major congregation in the State of Texas (having served since July 2014). Rabbi Nathan was ordained by the Hebrew Union College-Jewish Institute of Religion in New York in 2000. She was a recipient of the Steinhardt Fellowship; a scholarship awarded to rabbinical students to further informal education with teens and college age students, and received academic awards for Hebrew, History and Talmudic studies. She received a Bachelor’s of Arts Degree in history as well as certificates in Jewish studies and women's studies from Northwestern University in 1993. As a high school student, she studied flute at the Juilliard Conservatory Pre-college Program. Her extensive musical training and experience enables her to incorporate her voice, flute and guitar into her service leading and other programs. Prior to Temple Beth-El, Rabbi Nathan served as the Associate Rabbi and Director of Congregational Learning at Larchmont Temple in Larchmont, NY, where she worked in various capacities from 1994-2014. During her almost twenty years of service at Larchmont Temple, she played an instrumental role in all aspects of congregational life including spiritual worship, ritual, and lifelong learning.  Rabbi Nathan has served on the board of the Central Conference of American Rabbis, and is a member of the Women’s Rabbinic Network. She is also a past president of the Westchester Board of Rabbis. Rabbi Nathan has served on the faculty of URJ’s Greene Family Camp in Bruceville, Texas and Eisner Camp in Great Barrington, Massachusetts.				
national-council-of-jewish-women		National Council of Jewish Women	national-council-of-jewish-women	https://www.ncjw.org	Founded in 1893, the National Council of Jewish Women (NCJW) is a grassroots organization of volunteers and advocates who turn progressive ideals into action. Inspired by Jewish values, NCJW strives for social justice by improving the quality of life for women, children, and families and by safeguarding individual rights and freedoms.				
national-jewish-welfare-board		National Jewish Welfare Board	the National Jewish Welfare Board	https://en.wikipedia.org/wiki/National_Jewish_Welfare_Board	The National Jewish Welfare Board (JWB) was formed on April 9, 1917, three days after the United States declared war on Germany, in order to support Jewish soldiers in the U.S. military during World War I The impetus for creating the organization stemmed from Secretary of War, Newton Baker and Secretary of Navy, Josephus Daniels. The organization was also charged with recruiting and training rabbis for military service, as well as providing support materials to these newly commissioned chaplains. The JWB also maintained oversight of Jewish chapel facilities at military installations. In 1921, several organizations merged with the JWB to become a national association of Jewish community centers around the country in order to integrate social activities, education, and active recreation. These merged organizations included the YWHA, YMHA, and the National Council of Young Men's Hebrew and Kindred Association. In 1941, in a response to a mandate from President Franklin D. Roosevelt, six private organizations - the YMCA, YWCA, the National Jewish Welfare Board, the Traveler's Aid Association and the Salvation Army were challenged to handle the on-leave morale and recreational needs for members of the Armed Forces. The six organizations pooled their resources and the United Service Organizations, which quickly became known as the USO, was incorporated in New York on February 4, 1941. The organization is now the JWB Jewish Chaplains Council, part of JCC of North America. The Council sends prayer books, religious artifacts and supplies for Jewish holidays, including Passover Seder kits, Ḥanukkah candles, four species for Tabernacles, and more.				
